Constituency Number,Constituency Name,District,Candidate Name,Party,Votes,EVM Round Status,Image URL,Last Updated
13,KOLATHUR,CHENNAI,V. S. BABU,Tamilaga Vettri Kazhagam," 52,996 ",Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/VSB-2026-20260410115118.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,M. K. STALIN,Dravida Munnetra Kazhagam," 44,541 ",Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MKS-2026-20260330061440.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,P. SANTHANA KRISHNAN,All India Anna Dravida Munnetra Kazhagam," 12,926 ",Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/PSAN-2026-20260404073712.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,SOUNDARA PANDIAN LUDER SETH,Naam Tamilar Katchi," 3,467 ",Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SOUND-2026-20260330082528.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,S.Y. SYED YUSUF,Republican Party of India (Athawale), 304 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SYS-2026-20260407020532.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,SUBASHINI,Bahujan Samaj Party, 119 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SUBAS-2026-20260407015401.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,AATHITHYA,Samata Party, 105 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/AATHI-2026-20260410115149.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,R. RAJ GURU,Independent, 88 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RRAJ-2026-20260407014038.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,SELVI STEFFI. V. M,Independent, 81 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SELVI-2026-20260410115207.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,R. SENTHIL KUMAR,Independent, 67 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/RSEN-2026-20260410115325.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,OORMILA,Tamizhaga Vaazhvurimai Katchi, 63 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/OORMI-2026-20260410115419.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,M. RAJESHKUMAR,Independent, 49 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MRAJ-2026-20260409105645.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,J. SURIYA MUTHU,Independent, 47 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/JSUR-2026-20260406100624.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,NANDA KUMAR,Independent, 47 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/NANDH-2026-20260407121403.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,M. POORNIMA,Independent, 39 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MPOO-2026-20260407013211.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,R. MAHESH,Independent, 38 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RMAH-2026-20260407012733.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,A. L. NARESH KUMAR,Independent, 34 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ALN-2026-20260410115101.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,P. MILANY,Independent, 34 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/PMIL-2026-20260404081643.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,K. PANNEER SELVAM,Independent, 33 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KPAN-2026-20260410115354.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,VIGIRDHAN,Independent, 30 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/VIGIR-2026-20260406101252.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,E. RAAMADASAN,Makkal Nalvaazhvuk Katchi, 28 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ERAA-2026-20260410115039.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,KAJA MAIDEEN,Independent, 27 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KAJAM-2026-20260409072720.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,ARUL DOSS. A.,Independent, 26 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ARULD-2026-20260410115249.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,V. NARESH BABU,Independent, 26 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/VNAR-2026-20260407124857.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,S. SHARAN,Independent, 24 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SSHA-2026-20260407122950.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,RAJA. G.,Independent, 23 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/GRAJ-2026-20260406102950.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,M. SURESH,Independent, 22 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SURES-2026-20260407123600.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,R. RAVIKUMAR,Independent, 21 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/RRAV-2026-20260409105620.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,SIVAGNANASAM,Desiya Makkal Sakthi Katchi, 20 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SIVAG-2026-20260402050102.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,V. A. SUDHAKAR,Independent, 20 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/VAS-2026-20260410115230.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,K. ELUMALAI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi, 16 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KELU-2026-20260410115019.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,R. BALAJI,Independent, 15 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/RBAL-2026-20260410115133.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,FARMER JAYARAMAN. S K J.,Independent, 13 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/KJAY-2026-20260406111031.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,A. RAJI,Independent, 12 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RAJI-2026-20260406105533.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,S. BALACHANDAR,Independent, 7 ,Status of EVM Round:13/22,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SBAL-2026-20260404080028.jpg,02:27 PM On 04/05/2026
13,KOLATHUR,CHENNAI,NOTA,None of the Above, 575 ,Status of EVM Round:13/22,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,ARUL PRAKASAM. M,Tamilaga Vettri Kazhagam," 41,173 ",Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MARU-2026-20260404041315.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,SUBRAMANIAN. MA,Dravida Munnetra Kazhagam," 25,106 ",Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/MASU-2026-20260330041715.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,SENTHAMIZHAN. G,Amma Makkal Munnettra Kazagam," 8,558 ",Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SENTH-2026-20260409093322.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,SRIVIDYA. G,Naam Tamilar Katchi," 2,712 ",Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/SRIVI-2026-20260405015148.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,KUMARAN. G.P,Bahujan Samaj Party, 244 ,Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KUMAR-2026-20260409093338.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,RAJA. R,Independent, 131 ,Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/RRAJ-2026-20260404061746.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,YOGAPRAKASH. B,Independent, 80 ,Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/BYOG-2026-20260406071206.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,PARTHIBAN. S,MGR Makkal Katchi, 78 ,Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/PARTH-2026-20260409093304.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,GINGSTON. M,Independent, 67 ,Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/MGIN-2026-20260405025008.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,SOUNDARARAJAN. N,Naam Indiar Party, 65 ,Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/NSOU-2026-20260405014833.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,VALARMATHI. P,Independent, 56 ,Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/PVAL-2026-20260406103758.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,PRITHVIRAJ. A,Independent, 43 ,Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/APRI-2026-20260406060456.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,PRASAD. N,Independent, 40 ,Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/PRASA-2026-20260409093419.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,ANAND. S,Independent, 33 ,Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/ANAND-2026-20260409093451.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,KANDHASAMY. R (ALIAS) BABU,Independent, 25 ,Status of EVM Round:10/21,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/RKAN-2026-20260405015340.jpg,02:27 PM On 04/05/2026
23,SAIDAPET,CHENNAI,NOTA,None of the Above, 419 ,Status of EVM Round:10/21,https://results.eci.gov.in/ResultAcGenMay2026/img/nota.jpg,02:27 PM On 04/05/2026
4,THIRUVALLUR,TIRUVALLUR,DR. T. ARUNKUMAR,Tamilaga Vettri Kazhagam," 42,810 ",Status of EVM Round:12/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/DRT-2026-20260404081548.jpg,02:27 PM On 04/05/2026
4,THIRUVALLUR,TIRUVALLUR,V.G. RAAJENDRAN,Dravida Munnetra Kazhagam," 35,273 ",Status of EVM Round:12/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/VGR-2026-20260406093414.jpg,02:27 PM On 04/05/2026
4,THIRUVALLUR,TIRUVALLUR,BE  VEE RAMANAH,All India Anna Dravida Munnetra Kazhagam," 30,033 ",Status of EVM Round:12/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/BEVEE-2026-20260406091301.jpg,02:27 PM On 04/05/2026
4,THIRUVALLUR,TIRUVALLUR,K. SENTHILKUMAR,Naam Tamilar Katchi," 2,342 ",Status of EVM Round:12/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/KSEN-2026-20260409122154.jpg,02:27 PM On 04/05/2026
4,THIRUVALLUR,TIRUVALLUR,S. RAJENDRAN,Independent, 402 ,Status of EVM Round:12/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/SRAJ-2026-20260406104103.jpg,02:27 PM On 04/05/2026
4,THIRUVALLUR,TIRUVALLUR,B. RAJESH KUMAR,Bahujan Samaj Party, 319 ,Status of EVM Round:12/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/S22/BRAJ-2026-20260409122114.jpg,02:27 PM On 04/05/2026
4,THIRUVALLUR,TIRUVALLUR,E. MANI,Republican Party of India (Athawale), 284 ,Status of EVM Round:12/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/EMAN-2026-20260406085749.jpg,02:27 PM On 04/05/2026
4,THIRUVALLUR,TIRUVALLUR,N. VENKATESAN,Aanaithinthiya Jananayaka Pathukappu Kazhagam, 160 ,Status of EVM Round:12/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/NVEN-2026-20260404103434.jpg,02:27 PM On 04/05/2026
4,THIRUVALLUR,TIRUVALLUR,G. RAJENDIRAN,Independent, 159 ,Status of EVM Round:12/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/GRAJ-2026-20260404093440.jpg,02:27 PM On 04/05/2026
4,THIRUVALLUR,TIRUVALLUR,E.KOTHANDAN,Independent, 131 ,Status of EVM Round:12/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/EKOT-2026-20260404075649.jpg,02:27 PM On 04/05/2026
4,THIRUVALLUR,TIRUVALLUR,N. BALAKRISHNAN,Independent, 111 ,Status of EVM Round:12/24,https://results.eci.gov.in/uploads2/candprofile/E32/2026/AC/s22/NBAL-2026-20260404091940.jpg,02:27 PM On 04/05/2026
